name_a,name_b,canonical_a,canonical_b,fuzzy_ratio,n_shared_coauthors,shared_coauthors
Alexander Bartel,Alexandre Bartel,alexander bartel,alexandre bartel,0.938,0,
Mohammad Hossain,Muhammad M. Hossain,mohammad hossain,muhammad hossain,0.938,0,
Lin Shi 0006,Ling Shi 0002,lin shi,ling shi,0.933,0,
Li Yang,Lin Yang 0030,li yang,lin yang,0.933,0,
Xinya Wu,Xiya Wu,xinya wu,xiya wu,0.933,0,
Liang Xu,Ling Xu,liang xu,ling xu,0.933,0,
Ya Xiao 0002,Yan Xiao 0002,ya xiao,yan xiao,0.933,0,
Chao Liu 0002,Hao Liu,chao liu,hao liu,0.933,0,
Chao Liu 0002,Hao Liu 0003,chao liu,hao liu,0.933,0,
Chao Liu 0014,Hao Liu,chao liu,hao liu,0.933,0,
Chao Liu 0014,Hao Liu 0003,chao liu,hao liu,0.933,0,
Chao Liu 0032,Hao Liu,chao liu,hao liu,0.933,0,
Chao Liu 0032,Hao Liu 0003,chao liu,hao liu,0.933,0,
Huai Liu,Hui Liu,huai liu,hui liu,0.933,0,
Huai Liu,Hui Liu 0003,huai liu,hui liu,0.933,0,
Huai Liu,Hui Liu 0052,huai liu,hui liu,0.933,0,
Jia Liu,Jian Liu,jia liu,jian liu,0.933,0,
Jia Liu,Jian Liu 0008,jia liu,jian liu,0.933,0,
Yan Liu,Yang Liu,yan liu,yang liu,0.933,0,
Yan Liu,Yang Liu 0088,yan liu,yang liu,0.933,0,
Yan Liu 0001,Yang Liu,yan liu,yang liu,0.933,0,
Yan Liu 0001,Yang Liu 0003,yan liu,yang liu,0.933,0,
Yan Liu 0001,Yang Liu 0088,yan liu,yang liu,0.933,0,
Ji Wang 0001,Jie Wang,ji wang,jie wang,0.933,0,
Ji Wang 0001,Jie Wang 0033,ji wang,jie wang,0.933,0,
Ji Wang 0001,Jie Wang 0035,ji wang,jie wang,0.933,0,
Ji Wang 0001,Jie Wang 0110,ji wang,jie wang,0.933,0,
Lei Wang 0031,Li Wang,lei wang,li wang,0.933,0,
Li Wang,Liu Wang 0002,li wang,liu wang,0.933,0,
Liu Wang 0002,Lu Wang,liu wang,lu wang,0.933,0,
Liu Wang 0002,Lu Wang 0014,liu wang,lu wang,0.933,0,
An Chen,Ang Chen 0001,an chen,ang chen,0.933,0,
An Ran Chen,Ang Chen 0001,an chen,ang chen,0.933,0,
Heng Li 0007,Zheng Li 0001,heng li,zheng li,0.933,0,
Heng Li 0007,Zheng Li 0035,heng li,zheng li,0.933,0,
Heng Li 0008,Zheng Li 0001,heng li,zheng li,0.933,0,
Heng Li 0008,Zheng Li 0035,heng li,zheng li,0.933,0,
Hong Li 0004,Zhong Li,hong li,zhong li,0.933,0,
Hong Li 0004,Zhong Li 0002,hong li,zhong li,0.933,0,
Xian Li,Xiang Li,xian li,xiang li,0.933,0,
Xian Li,Xiang Li 0078,xian li,xiang li,0.933,0,
Zhao Li 0007,Zihao Li 0001,zhao li,zihao li,0.933,0,
Zhen Li 0005,Zheng Li 0001,zhen li,zheng li,0.933,0,
Zhen Li 0005,Zheng Li 0035,zhen li,zheng li,0.933,0,
Zhen Li 0027,Zheng Li 0001,zhen li,zheng li,0.933,0,
Zhen Li 0027,Zheng Li 0035,zhen li,zheng li,0.933,0,
Yu Zhao 0010,Yue Zhao 0011,yu zhao,yue zhao,0.933,0,
You Zhou,Yu Zhou 0010,you zhou,yu zhou,0.933,0,
Youn Kyu Lee,Yun Young Lee,youn lee,yun lee,0.933,0,
Yu Ding,Yun Ding,yu ding,yun ding,0.933,0,
Ju Qian,Jun Qian,ju qian,jun qian,0.933,0,
Xiaodong Zhang,Xiaohong Zhang 0002,xiaodong zhang,xiaohong zhang,0.929,0,
Xiaodong Zhang,Xiaosong Zhang 0001,xiaodong zhang,xiaosong zhang,0.929,0,
Xiaodong Zhang 0014,Xiaohong Zhang 0002,xiaodong zhang,xiaohong zhang,0.929,0,
Xiaodong Zhang 0014,Xiaosong Zhang 0001,xiaodong zhang,xiaosong zhang,0.929,0,
Xiaohong Zhang 0002,Xiaosong Zhang 0001,xiaohong zhang,xiaosong zhang,0.929,0,
Marcela G. dos Santos,Marcelo Nery dos Santos,marcela santos,marcelo santos,0.929,0,
Chenyang Yang 0002,Chenyuan Yang,chenyang yang,chenyuan yang,0.923,0,
Yu Sun 0002,Yue Sun,yu sun,yue sun,0.923,0,
Chao Wu,Hao Wu,chao wu,hao wu,0.923,0,
Chao Wu,Hao Wu 0017,chao wu,hao wu,0.923,0,
Jian Wu 0001,Jin Wu,jian wu,jin wu,0.923,0,
Jin Wu,Jing Wu 0021,jin wu,jing wu,0.923,0,
Bicheng Zhang,Zicheng Zhang,bicheng zhang,zicheng zhang,0.923,0,
Mingxue Zhang 0001,Mingyue Zhang 0002,mingxue zhang,mingyue zhang,0.923,0,
Xueling Zhang,Yueling Zhang,xueling zhang,yueling zhang,0.923,0,
Xu Liu 0001,Xue Liu 0001,xu liu,xue liu,0.923,0,
Yu David Liu,Yue Liu 0010,yu liu,yue liu,0.923,0,
Yu David Liu,Yue Liu 0011,yu liu,yue liu,0.923,0,
Yu Liu,Yue Liu 0010,yu liu,yue liu,0.923,0,
Yu Liu,Yue Liu 0011,yu liu,yue liu,0.923,0,
Yu Liu 0079,Yue Liu 0010,yu liu,yue liu,0.923,0,
Yu Liu 0079,Yue Liu 0011,yu liu,yue liu,0.923,0,
Yu Liu 0090,Yue Liu 0010,yu liu,yue liu,0.923,0,
Yu Liu 0090,Yue Liu 0011,yu liu,yue liu,0.923,0,
Shisong Wang,Shuaisong Wang,shisong wang,shuaisong wang,0.923,0,
Bin Li 0006,Bing Li 0010,bin li,bing li,0.923,0,
Xia Li 0009,Xian Li,xia li,xian li,0.923,0,
Yan Li 0077,Yang Li,yan li,yang li,0.923,0,
Yan Li 0077,Yang Li 0215,yan li,yang li,0.923,0,
He Tan,Hee Beng Kuan Tan,he tan,hee tan,0.923,0,
Thanh H. D. Nguyen,ThanhVu H. Nguyen,thanh nguyen,thanhvu nguyen,0.923,0,
Thanh H. D. Nguyen,ThanhVu Nguyen,thanh nguyen,thanhvu nguyen,0.923,0,
Thanh Van Nguyen,ThanhVu H. Nguyen,thanh nguyen,thanhvu nguyen,0.923,0,
Thanh Van Nguyen,ThanhVu Nguyen,thanh nguyen,thanhvu nguyen,0.923,0,
Bin Yu 0001,Bing Yu,bin yu,bing yu,0.923,0,
Han Du,Hang Du,han du,hang du,0.923,0,
Lola Burgueño,Loli Burgueño,lola burgueno,loli burgueno,0.923,0,
JaeEun Choi,Jaeseung Choi 0002,jaeeun choi,jaeseung choi,0.917,0,
Sheng Cheng,Shengyu Cheng,sheng cheng,shengyu cheng,0.917,0,
Jianling Sun,Jingling Sun,jianling sun,jingling sun,0.917,0,
Bicheng Zhang,Cheng Zhang,bicheng zhang,cheng zhang,0.917,0,
Bicheng Zhang,Cheng Zhang 0010,bicheng zhang,cheng zhang,0.917,0,
Cheng Zhang,Chengyu Zhang 0001,cheng zhang,chengyu zhang,0.917,0,
